latitude,longitude
52.34737,4.833369
52.34739,4.835773
52.3474,4.838178
52.34741,4.840582
52.34742,4.842987
52.34743,4.845391
52.34744,4.847795
52.34745,4.8502
52.34746,4.852604
52.34747,4.855009
52.34748,4.857413
52.3475,4.859817
52.3475,4.862222
52.34752,4.864626
52.34753,4.867031
52.34754,4.869435
52.34755,4.871839
52.34756,4.874244
52.34757,4.876648
52.34758,4.879053
52.34759,4.881457
52.3476,4.883862
52.34761,4.886266
52.34762,4.88867
52.34763,4.891075
52.34764,4.893479
52.34765,4.895884
52.34766,4.898288
52.34767,4.900692
52.34768,4.903097
52.34769,4.905501
52.3477,4.907906
52.34771,4.91031
52.34772,4.912714
52.34773,4.915119
52.34774,4.917523
52.34775,4.919928
52.34776,4.922332
52.34777,4.924737
52.34777,4.927141
52.34779,4.929546
52.34779,4.93195
52.3478,4.934355
52.34781,4.936759
52.34782,4.939164
52.34783,4.941568
52.34784,4.943973
52.34785,4.946377
52.34786,4.948781
52.34787,4.951186
52.34787,4.95359
52.34789,4.955995
52.34789,4.958399
52.3479,4.960804
52.34791,4.963208
52.34792,4.965612
52.34793,4.968017
52.34793,4.970421
52.34794,4.972826
52.34795,4.97523
52.3488,4.823732
52.34881,4.826137
52.34882,4.828541
52.34883,4.830946
52.34885,4.83335
52.34886,4.835755
52.34887,4.83816
52.34888,4.840564
52.34889,4.842968
52.3489,4.845373
52.34891,4.847777
52.34892,4.850182
52.34893,4.852586
52.34895,4.854991
52.34896,4.857395
52.34897,4.8598
52.34898,4.862204
52.34899,4.864609
52.349,4.867013
52.34901,4.869418
52.34902,4.871822
52.34903,4.874227
52.34904,4.876631
52.34905,4.879035
52.34906,4.88144
52.34907,4.883845
52.34908,4.886249
52.34909,4.888654
52.3491,4.891058
52.34911,4.893463
52.34912,4.895867
52.34913,4.898272
52.34914,4.900676
52.34915,4.903081
52.34916,4.905485
52.34917,4.90789
52.34918,4.910295
52.34919,4.912699
52.3492,4.915103
52.34921,4.917508
52.34922,4.919912
52.34923,4.922317
52.34924,4.924721
52.34925,4.927126
52.34926,4.929531
52.34927,4.931935
52.34927,4.93434
52.34929,4.936744
52.34929,4.939148
52.3493,4.941553
52.34931,4.943958
52.34932,4.946362
52.34933,4.948767
52.34934,4.951171
52.34935,4.953576
52.34936,4.95598
52.34937,4.958385
52.34937,4.96079
52.34938,4.963194
52.34939,4.965599
52.3494,4.968003
52.34941,4.970407
52.34941,4.972812
52.34943,4.975217
52.35027,4.823714
52.35028,4.826118
52.3503,4.828523
52.35031,4.830927
52.35032,4.833332
52.35033,4.835737
52.35034,4.838141
52.35035,4.840546
52.35036,4.84295
52.35037,4.845355
52.35038,4.847759
52.3504,4.850164
52.35041,4.852569
52.35042,4.854973
52.35043,4.857378
52.35044,4.859782
52.35045,4.862187
52.35046,4.864591
52.35047,4.866996
52.35048,4.869401
52.35049,4.871805
52.3505,4.87421
52.35051,4.876614
52.35052,4.879019
52.35053,4.881423
52.35054,4.883828
52.35056,4.886232
52.35056,4.888637
52.35057,4.891042
52.35059,4.893446
52.35059,4.895851
52.35061,4.898255
52.35061,4.90066
52.35062,4.903065
52.35064,4.905469
52.35064,4.907874
52.35065,4.910278
52.35066,4.912683
52.35067,4.915088
52.35068,4.917492
52.35069,4.919897
52.3507,4.922301
52.35071,4.924706
52.35072,4.927111
52.35073,4.929515
52.35074,4.93192
52.35075,4.934325
52.35076,4.936729
52.35077,4.939134
52.35078,4.941538
52.35078,4.943943
52.35079,4.946348
52.3508,4.948752
52.35081,4.951157
52.35082,4.953561
52.35083,4.955966
52.35084,4.958371
52.35085,4.960775
52.35085,4.96318
52.35086,4.965585
52.35087,4.967989
52.35088,4.970394
52.35089,4.972798
52.3509,4.975203
52.35175,4.823695
52.35176,4.8261
52.35177,4.828505
52.35178,4.830909
52.35179,4.833313
52.3518,4.835718
52.35181,4.838123
52.35183,4.840528
52.35184,4.842932
52.35184,4.845337
52.35186,4.847742
52.35187,4.850146
52.35188,4.852551
52.35189,4.854955
52.3519,4.85736
52.35191,4.859765
52.35192,4.862169
52.35193,4.864574
52.35194,4.866979
52.35196,4.869383
52.35196,4.871788
52.35197,4.874193
52.35199,4.876597
52.352,4.879002
52.35201,4.881407
52.35202,4.883811
52.35203,4.886216
52.35204,4.888621
52.35205,4.891025
52.35206,4.89343
52.35207,4.895834
52.35208,4.898239
52.35209,4.900644
52.3521,4.903049
52.35211,4.905453
52.35212,4.907858
52.35213,4.910263
52.35213,4.912667
52.35215,4.915072
52.35215,4.917477
52.35217,4.919881
52.35217,4.922286
52.35218,4.924691
52.35219,4.927095
52.3522,4.9295
52.35221,4.931905
52.35222,4.934309
52.35223,4.936714
52.35224,4.939119
52.35225,4.941524
52.35226,4.943928
52.35226,4.946333
52.35228,4.948738
52.35228,4.951142
52.35229,4.953547
52.3523,4.955952
52.35231,4.958356
52.35232,4.960761
52.35233,4.963166
52.35234,4.96557
52.35234,4.967975
52.35235,4.97038
52.35236,4.972785
52.35237,4.975189
52.35322,4.823677
52.35323,4.826081
52.35324,4.828486
52.35325,4.830891
52.35326,4.833295
52.35328,4.8357
52.35329,4.838105
52.3533,4.840509
52.35331,4.842914
52.35332,4.845319
52.35333,4.847723
52.35334,4.850128
52.35335,4.852533
52.35336,4.854938
52.35337,4.857343
52.35339,4.859747
52.35339,4.862152
52.3534,4.864557
52.35342,4.866961
52.35343,4.869366
52.35344,4.871771
52.35345,4.874176
52.35346,4.87658
52.35347,4.878985
52.35348,4.88139
52.35349,4.883795
52.3535,4.886199
52.35351,4.888604
52.35352,4.891009
52.35353,4.893414
52.35354,4.895818
52.35355,4.898223
52.35356,4.900628
52.35357,4.903033
52.35358,4.905437
52.35359,4.907842
52.3536,4.910247
52.35361,4.912652
52.35362,4.915056
52.35363,4.917461
52.35364,4.919866
52.35365,4.922271
52.35366,4.924675
52.35366,4.92708
52.35368,4.929485
52.35368,4.93189
52.35369,4.934295
52.3537,4.936699
52.35371,4.939104
52.35372,4.941509
52.35373,4.943913
52.35374,4.946318
52.35375,4.948723
52.35376,4.951128
52.35376,4.953533
